server,RepositoryName,Key1,Key2,Name,ITID,cnt
baphomet,Inventory,10864256,0,novice2019,3993,1
baphomet,Inventory,10864497,0,novice2019,3993,1
baphomet,Inventory,10864442,0,novice2019,3993,1
baphomet,Inventory,10864448,0,novice2019,3993,1
baphomet,Inventory,10864341,0,novice2019,3993,1
baphomet,Inventory,10864505,0,novice2019,3993,1
baphomet,Inventory,10864506,0,novice2019,3993,1
baphomet,Inventory,10864436,0,novice2019,3993,1
baphomet,Inventory,10864516,0,novice2019,3993,1
baphomet,Inventory,10864518,0,novice2019,3993,1
baphomet,Inventory,10864477,0,novice2019,3993,1
baphomet,Inventory,10864638,0,novice2019,3993,1
baphomet,Inventory,10864672,0,novice2019,3993,1
baphomet,Inventory,10864404,0,novice2019,3993,1
baphomet,Inventory,10864701,0,novice2019,3993,1
baphomet,Inventory,10864476,0,novice2019,3993,1
baphomet,Inventory,10864576,0,novice2019,3993,1
baphomet,Inventory,10864610,0,novice2019,3993,1
baphomet,Inventory,10864644,0,novice2019,3993,1
baphomet,Inventory,10864680,0,novice2019,3993,1
baphomet,Inventory,10864722,0,novice2019,3993,1
baphomet,Inventory,10864776,0,novice2019,3993,1
baphomet,Inventory,10864781,0,novice2019,3993,1
baphomet,Inventory,10864402,0,novice2019,3993,1
baphomet,Inventory,10864778,0,novice2019,3993,1
baphomet,Inventory,10864413,0,H_AD_Sandl,3993,1
baphomet,Inventory,10864520,0,novice2019,3993,1
baphomet,Inventory,10864541,0,novice2019,3993,1
baphomet,Inventory,10864577,0,novice2019,3993,1
baphomet,Inventory,10864616,0,novice2019,3993,1
baphomet,Inventory,10864655,0,novice2019,3993,1
baphomet,Inventory,10864658,0,novice2019,3993,1
baphomet,Inventory,10864663,0,novice2019,3993,1
baphomet,Inventory,10864661,0,novice2019,3993,1
baphomet,Inventory,10864660,0,novice2019,3993,1
baphomet,Inventory,10864662,0,novice2019,3993,1
baphomet,Inventory,10864666,0,novice2019,3993,1
baphomet,Inventory,10864740,0,novice2019,3993,1
baphomet,Inventory,10864727,0,novice2019,3993,1
baphomet,Inventory,10864795,0,novice2019,3993,1
baphomet,Inventory,10864793,0,novice2019,3993,1
baphomet,Inventory,10864829,0,novice2019,3993,1
baphomet,Inventory,10864839,0,novice2019,3993,1
baphomet,Inventory,10864871,0,novice2019,3993,1
baphomet,Inventory,10864883,0,novice2019,3993,1
baphomet,Inventory,10864916,0,novice2019,3993,1
baphomet,Inventory,10864951,0,novice2019,3993,1
baphomet,Inventory,10864953,0,novice2019,3993,1
baphomet,Inventory,10864962,0,novice2019,3993,1
baphomet,Inventory,10864963,0,novice2019,3993,1
baphomet,Inventory,10864968,0,novice2019,3993,1
baphomet,Inventory,10864391,0,novice2019,3993,1
baphomet,Inventory,10864260,0,novice2019,3993,1
baphomet,Inventory,10864569,0,novice2019,3993,1
baphomet,Inventory,10864575,0,novice2019,3993,1
baphomet,Inventory,10864574,0,novice2019,3993,1
baphomet,Inventory,10864581,0,novice2019,3993,1
baphomet,Inventory,10864579,0,novice2019,3993,1
baphomet,Inventory,10864582,0,novice2019,3993,1
