152566	3587618	14311326	12331	0	호러장난감던전 입장	4078	191	70	xmas.gat	233	299	2019-11-18 01:14:39.000
152567	1831663	14381815	16217	0	꿈과 그림자 입장	4078	200	70	dali02.gat	113	89	2019-11-18 01:18:58.000
152568	5868171	36038001	12347	0	중앙실험실 입장	4063	187	70	verus01.gat	153	152	2019-11-18 01:20:49.000
152569	9562491	36071999	12347	0	중앙실험실 입장	4061	200	70	verus01.gat	153	152	2019-11-18 01:20:56.000
152570	9562491	36071999	12317	0	옛 글래스트헤임 입장	4061	200	70	glast_01.gat	197	277	2019-11-18 01:35:13.000
152571	5868171	36038001	12317	0	옛 글래스트헤임 입장	4063	187	70	glast_01.gat	193	280	2019-11-18 01:35:19.000
152572	10187793	36000338	9335	0	펜릴과 사라 입장	4061	198	70	dali02.gat	89	137	2019-11-18 01:43:12.000
152573	984884	14391095	12317	0	옛 글래스트헤임 입장	4065	188	70	glast_01.gat	204	270	2019-11-18 01:49:12.000
152574	3587618	12228566	12334	0	옛 글래스트헤임 상급 입장	4078	196	70	glast_01.gat	181	279	2019-11-18 02:13:27.000
152575	984884	14391095	1261	0	저주받은 검사 입장	4065	188	70	dali02.gat	47	128	2019-11-18 02:21:46.000
152576	5918913	36082342	12417	0	포링 마을 입장	4	30	28	prt_fild05.gat	149	236	2019-11-18 03:09:59.000
152577	2022020	36082353	12417	0	포링 마을 입장	1	30	28	prt_fild05.gat	148	238	2019-11-18 03:10:03.000
152578	3587618	12228566	3135	0	니드호그의 둥지 입장	4078	196	70	nyd_dun02.gat	99	200	2019-11-18 03:13:05.000
152579	3587618	12228566	12331	0	호러장난감던전 입장	4078	196	70	xmas.gat	234	299	2019-11-18 03:19:20.000
152580	984884	5086409	1261	0	저주받은 검사 입장	4079	159	55	dali02.gat	47	129	2019-11-18 03:23:13.000
152581	3587618	12228566	12347	0	중앙실험실 입장	4078	196	70	verus01.gat	154	154	2019-11-18 03:33:45.000
152582	3587618	12228566	12459	0	차원의 틈 일반 입장	4078	196	70	glast_01.gat	245	292	2019-11-18 03:52:52.000
152583	10744176	36058679	12347	0	중앙실험실 입장	4063	198	70	verus01.gat	147	151	2019-11-18 03:57:46.000
152584	9526942	35895989	12347	0	중앙실험실 입장	4077	198	70	verus01.gat	152	152	2019-11-18 03:57:49.000
152585	601726	14215990	12347	0	중앙실험실 입장	4065	196	70	verus01.gat	147	151	2019-11-18 04:05:03.000
152586	601726	14215990	12331	0	호러장난감던전 입장	4065	196	70	xmas.gat	235	300	2019-11-18 04:14:47.000
152587	5901232	36082343	12417	0	포링 마을 입장	1	30	28	prt_fild05.gat	148	237	2019-11-18 04:16:42.000
152588	5918913	36054236	12417	0	포링 마을 입장	4	30	28	prt_fild05.gat	150	236	2019-11-18 04:16:44.000
152589	601726	14215990	12317	0	옛 글래스트헤임 입장	4065	196	70	glast_01.gat	198	263	2019-11-18 04:26:36.000
152590	5554588	14039507	12317	0	옛 글래스트헤임 입장	4065	152	51	glast_01.gat	201	271	2019-11-18 04:44:48.000
152591	4755661	34941728	12365	0	infinity room 입장	4065	195	70	cmd_fild07.gat	54	277	2019-11-18 04:44:58.000
152592	10744176	36058679	12347	0	중앙실험실 입장	4063	198	70	verus01.gat	145	154	2019-11-18 04:52:32.000
152593	9526942	35895989	12347	0	중앙실험실 입장	4077	198	70	verus01.gat	145	154	2019-11-18 04:52:35.000
152594	3235164	36077442	12347	0	중앙실험실 입장	4240	182	68	verus01.gat	154	151	2019-11-18 05:24:16.000
152595	3587618	12228566	12347	0	중앙실험실 입장	4078	196	70	verus01.gat	153	149	2019-11-18 05:28:56.000
152596	10053697	36073632	15002	0	사라의 기억 입장	4065	130	38	dali.gat	135	111	2019-11-18 05:40:21.000
152597	4755661	34861798	15002	0	사라의 기억 입장	4077	127	35	dali.gat	134	108	2019-11-18 05:40:32.000
152598	3587618	12228566	12365	0	infinity room 입장	4078	196	70	cmd_fild07.gat	53	277	2019-11-18 05:42:21.000
152599	3235164	36079936	12347	0	중앙실험실 입장	4240	171	60	verus01.gat	150	152	2019-11-18 05:45:13.000
152600	984884	14391095	12317	0	옛 글래스트헤임 입장	4065	188	70	glast_01.gat	202	269	2019-11-18 05:54:22.000
152601	3587618	12228566	12331	0	호러장난감던전 입장	4078	196	70	xmas.gat	234	301	2019-11-18 06:01:26.000
152602	1173827	1819453	12325	0	페이스웜의 둥지 입장	4060	200	70	dali.gat	83	61	2019-11-18 06:08:45.000
152603	3235164	36080262	12347	0	중앙실험실 입장	4240	171	60	verus01.gat	149	154	2019-11-18 06:09:29.000
152604	984884	14391095	1261	0	저주받은 검사 입장	4065	188	70	dali02.gat	46	129	2019-11-18 06:17:37.000
152605	3235164	36079791	12347	0	중앙실험실 입장	4240	172	60	verus01.gat	151	153	2019-11-18 06:29:17.000
152606	1173827	1819453	12331	0	호러장난감던전 입장	4060	200	70	xmas.gat	237	298	2019-11-18 06:32:42.000
152607	3235164	36080457	12347	0	중앙실험실 입장	4240	171	60	verus01.gat	152	151	2019-11-18 06:48:28.000
152608	1173827	1819453	12317	0	옛 글래스트헤임 입장	4060	200	70	glast_01.gat	201	278	2019-11-18 07:03:04.000
152609	3235164	4501059	12347	0	중앙실험실 입장	4073	180	67	verus01.gat	155	152	2019-11-18 07:54:20.000
152610	1350170	16591253	12365	0	infinity room 입장	4064	194	70	cmd_fild07.gat	53	277	2019-11-18 08:01:23.000
152611	3235164	4308046	12347	0	중앙실험실 입장	4063	192	70	verus01.gat	148	150	2019-11-18 08:05:33.000
152612	10744176	36058679	5112	0	보르세브연구실 입장	4063	198	70	lhz_dun04.gat	148	275	2019-11-18 08:07:08.000
152613	9526942	35895989	5112	0	보르세브연구실 입장	4077	198	70	lhz_dun04.gat	146	273	2019-11-18 08:07:11.000
152614	10892879	36074067	12331	0	호러장난감던전 입장	4065	188	70	xmas.gat	235	299	2019-11-18 08:16:16.000
152615	10891888	36068707	12331	0	호러장난감던전 입장	4063	162	54	xmas.gat	233	301	2019-11-18 08:16:18.000
