58360	2019-11-18 01:45:16.277	36082389	9510890	0	121.152.232.242
58361	2019-11-18 02:29:31.930	36082390	9341674	0	121.152.232.242
58362	2019-11-18 02:29:47.230	36082391	9341674	0	121.152.232.242
58363	2019-11-18 02:29:57.407	36082392	9341674	0	121.152.232.242
58364	2019-11-18 02:30:06.130	36082393	9341674	0	121.152.232.242
58365	2019-11-18 02:30:25.270	36082394	9341674	0	121.152.232.242
58366	2019-11-18 02:30:40.300	36082395	9341674	0	121.152.232.242
58367	2019-11-18 02:31:51.760	36082396	9510890	0	121.152.232.242
58368	2019-11-18 02:43:44.147	36082397	9341674	0	121.152.232.242
58369	2019-11-18 06:57:56.000	36082398	10009805	0	61.247.159.117
58370	2019-11-18 07:39:36.237	36082399	10920390	0	211.181.98.166
58371	2019-11-18 10:39:32.860	36082400	9249867	0	126.3.34.18
58372	2019-11-18 13:48:52.137	36082401	10924627	0	59.1.54.229
58373	2019-11-18 15:57:05.993	36082402	2280425	0	59.14.247.126
58374	2019-11-18 15:57:58.973	36082403	10224852	0	59.14.247.126
58375	2019-11-18 16:29:19.737	36082404	9307549	0	121.152.232.242
58376	2019-11-18 16:29:36.590	36082405	9307549	0	121.152.232.242
58377	2019-11-18 16:45:55.920	36082406	10924722	0	14.37.36.209
58378	2019-11-18 16:50:56.403	36082407	9510890	0	121.152.232.242
58379	2019-11-18 19:05:32.470	36082408	10106903	0	211.109.78.177
58380	2019-11-18 21:26:22.470	36082409	809498	0	121.132.225.185
58381	2019-11-18 21:48:48.307	36082410	10923913	0	59.4.132.128
58382	2019-11-19 11:01:45.070	36082411	5426058	0	59.2.128.201
58383	2019-11-19 14:21:04.750	36082412	10924813	0	211.238.175.207
58384	2019-11-19 15:56:54.063	36082413	10924822	0	14.7.233.31
58385	2019-11-19 17:01:26.317	36082414	10924826	0	210.181.123.21
58386	2019-11-19 20:19:53.650	36082415	10364251	0	110.14.65.121
58387	2019-11-19 22:44:01.377	36082416	10924841	0	115.136.97.165
58388	2019-11-20 00:26:54.813	36082417	10309711	0	219.250.255.89
